epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.3645261,2.291729606114901,0.64753,0.0832761,0.45069444,2.0465343210432265,0.5996055,0.21111111
1,0.47132772,2.0585338259720447,0.71839464,0.1849492,0.43377715,2.00890396171146,0.6052202,0.25998598
2,0.5007749,1.9964616851714674,0.7235955,0.22180128,0.4106517,2.156078985002306,0.5237484,0.2859145
3,0.5348717,1.9110312366600555,0.7330337,0.2808679,0.43307638,2.188148273362054,0.5158817,0.33006307
4,0.52264506,1.919040874049609,0.7398448,0.27914587,0.46741414,2.121620019276937,0.56991774,0.33987385
5,0.5433098,1.8752636217056873,0.7490179,0.29550543,0.5592151,1.9499568197462294,0.67794484,0.37911704
6,0.5481316,1.8718917814901492,0.74688977,0.29981056,0.42466712,2.137696369489034,0.48715204,0.31885073
7,0.5663854,1.826859311062271,0.7593411,0.32546926,0.4786265,2.0472394943237306,0.55300546,0.35459006
8,0.5631135,1.8443073220069877,0.75774646,0.3242638,0.52557814,1.932515753640069,0.61938536,0.36720392
9,0.56483555,1.833620349593513,0.7482129,0.32443604,0.4639103,2.0593907806608414,0.5417118,0.35038543
10,0.57137936,1.8152286216234286,0.7570273,0.33855692,0.5038542,2.0953303654988606,0.5488722,0.35809392
11,0.5775788,1.7965508965672408,0.76245785,0.35043913,0.43167484,2.2951168960995143,0.4794383,0.33496848
12,0.58033407,1.7905805069874297,0.7597015,0.35061133,0.4737211,2.1025769578086004,0.5410367,0.3510862
13,0.590322,1.784503471323765,0.76697975,0.36559325,0.5073581,1.9334025224049887,0.5928009,0.36930624
14,0.5929051,1.7536605369907168,0.77031803,0.37540898,0.4519972,2.081879880693224,0.5090715,0.3342677
15,0.59686583,1.764547526374503,0.7830803,0.37299812,0.47021723,2.140185628996955,0.5303644,0.36720392
16,0.60048217,1.7508562622411907,0.7765033,0.3847081,0.53328663,1.9020271142323812,0.6231733,0.4183602
17,0.5930773,1.749345576637929,0.7645614,0.37523678,0.49124035,2.083750237358941,0.5678733,0.35178697
18,0.60272086,1.7354071760662086,0.7709205,0.38074738,0.51296425,1.975189635488722,0.60633487,0.37561318
19,0.6106423,1.7191209259759093,0.78698224,0.3893577,0.49684653,2.0536950720681086,0.56508577,0.39243168
20,0.6090925,1.7308477680428993,0.78394854,0.3986568,0.49684653,1.9611062314775256,0.6002358,0.35669237
21,0.60048217,1.7501713731971689,0.77551734,0.38074738,0.5024527,1.9589040199915568,0.5736783,0.35739315
22,0.6089203,1.729951470346157,0.7811115,0.39452386,0.52487737,1.9582770427068075,0.6145833,0.4134548
23,0.61425865,1.7028504921479748,0.78141713,0.40261754,0.4681149,2.1132492277357313,0.5141188,0.370007
24,0.6149475,1.6977471543483362,0.7732354,0.41691062,0.50035036,1.9955283668306139,0.5726588,0.3728101
25,0.619597,1.6914861352098405,0.7903121,0.4186327,0.5122635,1.982557831870185,0.5895288,0.394534
26,0.618736,1.6917615912345307,0.7810689,0.41777167,0.4428872,2.2915214856465655,0.48582995,0.33637002
