Edge TPU Compiler version 2.0.291256449
Input: /home/lindo/develop/smart-zoneminder/person-class/train-results/MobileNetV2-person-classifier-quant.tflite
Output: /home/lindo/develop/smart-zoneminder/person-class/train-results/MobileNetV2-person-classifier-quant_edgetpu.tflite

Operator                       Count      Status

ADD                            10         Mapped to Edge TPU
PAD                            5          Mapped to Edge TPU
QUANTIZE                       1          Operation is otherwise supported, but not mapped due to some unspecified limitation
CONV_2D                        35         Mapped to Edge TPU
DEPTHWISE_CONV_2D              17         Mapped to Edge TPU
DEQUANTIZE                     1          Operation is working on an unsupported data type
MEAN                           1          Mapped to Edge TPU
FULLY_CONNECTED                2          Mapped to Edge TPU
SOFTMAX                        1          Mapped to Edge TPU
