epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.64336145,1.6401566080614316,0.7880225,0.45772344,0.57883674,1.9833803627226088,0.660731,0.49404344
1,0.6793525,1.540504039945384,0.81425077,0.51558465,0.6180799,1.7884059826532999,0.7009346,0.52557814
2,0.7275702,1.4107778539586975,0.8483304,0.5731014,0.65732306,1.6804581880569458,0.7311151,0.5697267
3,0.7561564,1.3229207423502307,0.8633093,0.6199415,0.6720393,1.5809040228525797,0.746531,0.5655221
4,0.7852592,1.2681851398109343,0.87890536,0.66368175,0.64540994,1.6845465660095216,0.7115044,0.56341976
5,0.79059756,1.2159802171969263,0.882871,0.6905459,0.6944639,1.5243172327677408,0.762565,0.61667836
6,0.81298435,1.1662059405573844,0.89242,0.715688,0.712684,1.463959617084927,0.7723368,0.629993
7,0.83588773,1.130963828521812,0.9079507,0.73549163,0.7456202,1.3853130433294507,0.8149406,0.67274004
8,0.84432584,1.1036954990286456,0.9090159,0.7587395,0.73651016,1.3878099507755703,0.79261124,0.6615277
9,0.8493198,1.0852409841806154,0.9079163,0.7623558,0.697267,1.4725249502393933,0.7510584,0.62158376
10,0.8634407,1.0557722422512916,0.9196303,0.78818667,0.7259986,1.4022423028945923,0.79844964,0.6496146
11,0.86516273,1.03325778555907,0.9220339,0.7962803,0.67274004,1.6206471522649128,0.7229219,0.6033637
12,0.8698123,1.0322375013020684,0.9205285,0.8038574,0.69096005,1.6287371158599853,0.7310513,0.6285915
13,0.88858277,0.9798938372017328,0.935855,0.8265886,0.6965662,1.6192856510480245,0.74561405,0.65522075
14,0.8965042,0.9696131095184976,0.9367672,0.83933187,0.7505256,1.4588293274243673,0.81,0.68114924
15,0.90287584,0.9505116318966613,0.94217753,0.8389874,0.7498248,1.4719246321254307,0.829769,0.6797477
16,0.9082142,0.9383078027514679,0.9425746,0.85362494,0.77295023,1.395471047030555,0.84070057,0.706377
17,0.9126916,0.9212881771529092,0.9457774,0.86206305,0.76524174,1.4687639580832588,0.8136289,0.6944639
