epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.26802886,3.218422436124676,0.25475284,0.057520606,0.3372253,2.4170394507083266,0.47916666,0.03159341
1,0.31392753,2.372399440524956,0.5483871,0.020436201,0.35412335,2.252084405867608,0.6637168,0.051975053
2,0.34037438,2.272744370903036,0.71653545,0.04688305,0.3929314,2.167871822367658,0.57239056,0.117810115
3,0.36424524,2.214836356198892,0.67005074,0.06800618,0.43451142,2.0731116952476922,0.68292683,0.0970201
4,0.39137903,2.1776187210256612,0.7124646,0.08638159,0.44629246,2.0771607972763397,0.6657534,0.16839917
5,0.40460244,2.151011211078191,0.71728396,0.099776745,0.41025642,2.034445877258594,0.6034063,0.17186417
6,0.41044134,2.112519055671469,0.7199582,0.118323885,0.49133748,2.0054421431415683,0.6864407,0.16839917
7,0.42211917,2.0998693737565253,0.7128906,0.12536493,0.5079695,2.0061721867257423,0.79401994,0.16562717
8,0.43551433,2.0861656677675846,0.72861844,0.15215525,0.52875954,1.9277320143940684,0.72805136,0.23562023
9,0.44032285,2.0630343031805447,0.73207545,0.1665808,0.4934165,2.012295521222628,0.6535948,0.27720028
10,0.4468487,2.045872486642847,0.7238861,0.17018719,0.52182955,1.929145104937501,0.67346936,0.2972973
11,0.4483943,2.045865017749918,0.69473684,0.18134981,0.5246015,1.9296065372425122,0.72504705,0.26680526
12,0.46591103,2.0312627463248227,0.732166,0.19388631,0.53984755,1.8666174955420443,0.7339806,0.26195425
13,0.47844753,2.0017913393439573,0.72759855,0.20917054,0.5259875,1.8671040875571114,0.6973244,0.2889813
14,0.48171046,1.9911156427854118,0.7091212,0.2189593,0.5405405,1.8482510886349521,0.70942813,0.3180873
15,0.47638676,1.990959966364911,0.72145146,0.23218273,0.55162853,1.8304355124850848,0.7435456,0.2993763
16,0.476215,1.9941821231601289,0.7229807,0.21827237,0.5675676,1.8297466196856655,0.7409241,0.31115732
17,0.49046883,1.9533779219665541,0.73636365,0.2503864,0.5550935,1.8123768744887887,0.7084548,0.33679834
18,0.49579254,1.9576010642828818,0.7245919,0.23630431,0.5814276,1.8054044737920656,0.72846717,0.34580734
19,0.5169157,1.9190047047872345,0.73216814,0.26618582,0.5779626,1.7963880018873528,0.71888113,0.35620236
20,0.5007728,1.952515864052888,0.73385906,0.25571012,0.5876646,1.788796087542733,0.7251381,0.36382535
21,0.5148549,1.918999486704084,0.7296673,0.27116606,0.5897436,1.761796241933173,0.7470238,0.34788635
22,0.50060105,1.921201439303425,0.7295942,0.27477247,0.5814276,1.7445446003924359,0.73802394,0.34164935
23,0.51004636,1.8971054279658877,0.73051226,0.28164175,0.5530146,1.807201821725447,0.66035503,0.3866944
24,0.50987464,1.9270445769049755,0.72632056,0.2739138,0.59182256,1.7737991108999147,0.7654321,0.34372833
25,0.52052206,1.896725215863551,0.73398143,0.28524816,0.5641026,1.7681218857293601,0.695302,0.35897437
26,0.51519835,1.9068820072002435,0.7459434,0.27631804,0.6001386,1.739950371312571,0.7590188,0.36451837
27,0.53099775,1.8873637862044186,0.74744785,0.289198,0.6049896,1.746418942461957,0.7517434,0.37352738
28,0.53632146,1.8675438683814616,0.74013436,0.3027649,0.6022176,1.733805889611716,0.74545455,0.4261954
29,0.52309805,1.8790121542185254,0.7390751,0.2991585,0.5876646,1.765416062795199,0.72900766,0.3970894
30,0.53632146,1.8653583209702551,0.7386935,0.30293664,0.61191964,1.724247952738961,0.75844157,0.4047124
31,0.5303108,1.869867185577584,0.7483022,0.3027649,0.6049896,1.73134064412379,0.74580646,0.4005544
32,0.5431908,1.851657485912781,0.74613863,0.32354456,0.57934856,1.7374561435573703,0.71896315,0.36521137
33,0.53134125,1.8456947141837647,0.7536473,0.31049287,0.6139986,1.7376617953017517,0.7719528,0.4081774
34,0.5370084,1.8497075568395198,0.7425977,0.32302937,0.5973666,1.7682505125527854,0.7208766,0.43312544
35,0.54113,1.8435241205881043,0.74465513,0.31701872,0.59182256,1.7541887072416453,0.7359477,0.3901594
36,0.5356346,1.8418493964470233,0.7417298,0.3195947,0.6036036,1.7162651000442086,0.74481076,0.42273042
37,0.5504036,1.8287887745617633,0.7305296,0.3221707,0.6133056,1.6780249148934752,0.74209243,0.42273042
38,0.5421604,1.8240618481784265,0.7556928,0.33625278,0.6056826,1.7085211218058407,0.7269461,0.4206514
39,0.5395844,1.8358470404780691,0.7522088,0.3216555,0.5911296,1.756759682199457,0.72154963,0.41302842
40,0.5431908,1.8347273354839055,0.75242716,0.319423,0.6084546,1.7309545514347788,0.74689823,0.4171864
41,0.5383823,1.811556662478112,0.7499031,0.3321312,0.6056826,1.6919206538043179,0.73459715,0.42966044
42,0.55641425,1.8103787658264932,0.7583944,0.33745492,0.60637563,1.6931273432878347,0.75900275,0.37976438
43,0.5435343,1.832681673162278,0.7473011,0.32096857,0.6257796,1.7081210161303426,0.7624161,0.3936244
44,0.5478276,1.803067137157919,0.74878323,0.34346557,0.6237006,1.6836217556680952,0.76334953,0.43589744
45,0.5541817,1.808207528300042,0.7608778,0.34535462,0.58627856,1.7489862540266017,0.6953567,0.42550242
46,0.551434,1.7976127135555051,0.74287856,0.34037438,0.6084546,1.775658361859374,0.75272727,0.43035343
47,0.5492014,1.8096073243537352,0.7403294,0.33195946,0.61538464,1.7088350987696386,0.75919336,0.44352046
