epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.57582,1.7429627358207134,0.76082474,0.3802164,0.66597366,1.5794408530979367,0.7695351,0.5391545
1,0.6390177,1.5721415098274816,0.80099213,0.4714065,0.6957727,1.489063711611779,0.7892791,0.59182256
2,0.673536,1.470198988382214,0.82979894,0.5174309,0.7297297,1.4108737451689584,0.8166519,0.63894665
3,0.7113172,1.3890375325549986,0.84524727,0.56654644,0.75398475,1.334808622087751,0.83971506,0.65349966
4,0.74549204,1.3213716127527306,0.8761787,0.60638845,0.7803188,1.2660997077658935,0.865897,0.6756757
5,0.75613946,1.2655718074965965,0.8794718,0.62905717,0.7886348,1.2328302689961024,0.86904764,0.7082467
6,0.78516227,1.1969426661325488,0.89266056,0.668384,0.81704783,1.172995647231301,0.8940784,0.74289674
7,0.81160915,1.1668980774469193,0.9043922,0.70015454,0.83506584,1.1053954343219379,0.9092409,0.7636868
8,0.82466084,1.1093502378168947,0.9135829,0.7207625,0.85100484,1.0684001779818273,0.9157979,0.7914068
9,0.8493903,1.0679823143998515,0.9300403,0.75339174,0.84961885,1.0527418282005814,0.9115538,0.7927928
10,0.862442,1.0403312253681793,0.9375522,0.7709085,0.84823287,1.0453687886615375,0.9073634,0.7941788
11,0.87463504,1.010029449744178,0.9342857,0.78619266,0.87456685,1.0053224825597071,0.9228954,0.8128898
12,0.8887172,0.9885476506004091,0.94565654,0.80388117,0.8759529,0.9953287335542532,0.925,0.82051283
13,0.900395,0.9554559680045153,0.95227635,0.8189936,0.8849619,0.9749519569533212,0.93395495,0.83298683
14,0.91705304,0.9148866847047441,0.96179336,0.84732956,0.8981289,0.9531317032300509,0.93735677,0.8503119
15,0.9271853,0.8900999181176018,0.96697104,0.85471404,0.9022869,0.93494049009386,0.9399696,0.85724187
16,0.9323373,0.884287021075371,0.970964,0.86141163,0.9022869,0.9321050886269454,0.939348,0.85862786
17,0.937661,0.8575227168976759,0.9699563,0.8760089,0.9099099,0.9281100958258242,0.9343773,0.8683299
18,0.94796497,0.8409315268034872,0.9769811,0.88923234,0.9119889,0.9159252250587547,0.94020927,0.8717949
19,0.95792544,0.8158783998846414,0.98134327,0.9033145,0.9119889,0.910754633473826,0.94275093,0.8787249
20,0.9563799,0.8209794566902777,0.9786245,0.90417314,0.9050589,0.9143775046526731,0.9369436,0.8752599
21,0.95964277,0.8047186681623621,0.9806151,0.9034862,0.9092169,0.8946911882568191,0.9415248,0.8814969
22,0.96771425,0.7899001830737451,0.9858482,0.92117465,0.9119889,0.8880866137179699,0.94534713,0.8870409
23,0.9694316,0.78369401624353,0.9857404,0.9259832,0.9140679,0.9159969523712829,0.93865484,0.88011086
24,0.9701185,0.7710167987842484,0.9880022,0.93336767,0.9133749,0.9091801368273221,0.93879056,0.88218987
25,0.9744118,0.7620458877948517,0.98804563,0.9368023,0.9203049,0.879385945561168,0.939724,0.8967429
26,0.9769878,0.7550091005857921,0.98958147,0.9460759,0.9154539,0.8910887509911924,0.93449783,0.8898129
27,0.97818995,0.7499619550707413,0.9902632,0.9431564,0.9140679,0.8986051547658312,0.94199705,0.88911986
28,0.98248327,0.7352974356582193,0.9908994,0.9536322,0.9140679,0.925344678071829,0.9326087,0.8918919
29,0.98454404,0.7334284756102964,0.9928838,0.95844066,0.9189189,0.9044010259292938,0.93677324,0.8932779
30,0.9842006,0.7240343175044118,0.99377555,0.95964277,0.9092169,0.9334102973833189,0.9288824,0.8870409
31,0.98729175,0.7123484171257792,0.99539495,0.96513826,0.9168399,0.8895275802402706,0.934296,0.8967429
32,0.9884939,0.7096106805957799,0.99418294,0.9685729,0.92169094,0.8932701401658111,0.93871665,0.9022869
33,0.98883736,0.7120492271739921,0.99489164,0.96994674,0.91822594,0.8979684533653679,0.93386054,0.9002079
34,0.987807,0.7048234616422415,0.9938445,0.97046196,0.91822594,0.8827479900894585,0.93457943,0.9009009
35,0.987807,0.7009489306280872,0.9941932,0.97029024,0.9203049,0.9028497377594749,0.9379957,0.9015939
