epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.36263737,2.3263772424760756,0.5750873,0.084821425,0.42847222,2.0536395920647514,0.5451664,0.23888889
1,0.49595317,2.0252115340123638,0.7120521,0.18822111,0.47652417,1.9275674104690552,0.5777778,0.3461808
2,0.53848803,1.9127723368634368,0.7299404,0.2741519,0.46741414,2.059301559130351,0.5360924,0.39032936
3,0.5684519,1.8075488397458015,0.754804,0.3382125,0.5185704,1.9723801268471612,0.5708849,0.42046252
4,0.60513175,1.753504027161681,0.7642612,0.38298604,0.52277505,2.089110090997484,0.5913978,0.46250877
5,0.6264853,1.6916849855426586,0.7717042,0.4132943,0.53328663,2.0605234728919135,0.5868587,0.4569026
6,0.63165146,1.6656000328819416,0.7741535,0.42913726,0.504555,2.131082797050476,0.5532822,0.45480028
7,0.648011,1.6184025829417663,0.7915426,0.45772344,0.5725298,1.9379272805319891,0.6341249,0.50525576
8,0.6512829,1.6054898295567577,0.79415137,0.47701052,0.5795375,2.0142562177446153,0.6391304,0.51506656
9,0.664715,1.5855277445182059,0.80172414,0.48045462,0.571829,2.0579763147566053,0.6178451,0.5143658
10,0.6774582,1.548350546843258,0.8120112,0.5006027,0.5816398,1.9669798771540323,0.6348123,0.5213735
11,0.6821078,1.5439988322362281,0.8106904,0.5014638,0.5571128,2.095482908354865,0.6122278,0.5122635
