epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.7220596,1.4345885243209726,0.8331252,0.57430685,0.7231955,1.5191007799572416,0.8017857,0.62929225
1,0.75908387,1.3330063190890484,0.8557514,0.63544,0.7582341,1.3732970714569093,0.8567639,0.6790469
2,0.79972446,1.232024172219923,0.8807624,0.6843465,0.78276104,1.3278431389066907,0.8568966,0.6965662
3,0.8184949,1.174145496259032,0.8993056,0.7136215,0.7904695,1.3089604960547554,0.87018424,0.7281009
4,0.82262784,1.1588895489021158,0.8936528,0.73221976,0.7960757,1.2981798900498285,0.8663325,0.72669935
5,0.85104185,1.0964537089758246,0.91406894,0.767522,0.80798876,1.2663161754608154,0.87334436,0.73931324
6,0.8568969,1.0663704434154735,0.91714054,0.7776821,0.8121934,1.247161058584849,0.8769483,0.74912405
7,0.87342864,1.0233121095435311,0.9258964,0.8004133,0.82550806,1.2371210906240675,0.87871486,0.7666433
8,0.8763561,1.0141595647608903,0.9275848,0.8095402,0.83111423,1.2075027134683398,0.88906753,0.77505255
9,0.88892716,0.9930099350605074,0.9336984,0.82211125,0.8416258,1.1788577556610107,0.8907496,0.78276104
10,0.9042535,0.9451564551836779,0.94267637,0.84673667,0.8374212,1.200191985236274,0.88589543,0.7834618
11,0.91217494,0.934281239888129,0.9497612,0.856208,0.83531886,1.2195843683348762,0.8872121,0.78276104
12,0.9132082,0.9230088780951495,0.9545368,0.86051315,0.8528381,1.1674867378340827,0.89811915,0.8030834
13,0.92078525,0.90966374582199,0.9524349,0.86895126,0.84022427,1.1829897880554199,0.89440507,0.79537493
14,0.9331841,0.8837820725697997,0.9562465,0.8844498,0.8416258,1.1835339705149333,0.89106584,0.7967765
15,0.9300844,0.8835358552356297,0.9580302,0.8844498,0.85143656,1.1906542685296801,0.89098036,0.7960757
16,0.9374892,0.8509897568333841,0.9654152,0.8989151,0.850035,1.1621119022369384,0.89214176,0.8114926
17,0.948166,0.8367834191776419,0.9722987,0.9126916,0.84302735,1.2137623389561971,0.8863813,0.798178
18,0.9488548,0.8306496410622785,0.9707869,0.9156191,0.8479327,1.1902536273002624,0.8960434,0.8093903
19,0.9510935,0.8270246423376763,0.97009784,0.9218185,0.8507358,1.2019698394669427,0.88991535,0.8100911
20,0.9571207,0.8049954054112153,0.97518116,0.92698467,0.85143656,1.1817566302087572,0.8905891,0.81569725
21,0.9602204,0.8031805089301367,0.97737145,0.92973995,0.8647512,1.149582611189948,0.89891976,0.816398
22,0.9662476,0.7915348814916175,0.982852,0.93766147,0.85423964,1.1564818369017706,0.8938931,0.82060266
23,0.96314794,0.7949713389106148,0.9777379,0.93783367,0.84652776,1.174283790588379,0.8857578,0.8076389
24,0.9686585,0.7809513365111787,0.98069704,0.9448941,0.8535389,1.1691965990596347,0.89335394,0.8100911
25,0.9734803,0.770514679197315,0.9851627,0.94902706,0.8605466,1.1701559397909376,0.8986953,0.82060266
26,0.9769244,0.7603238125830319,0.98859787,0.9555709,0.86615276,1.1362296568022834,0.8984848,0.83111423
27,0.9734803,0.7648651540145953,0.9848808,0.9535044,0.874562,1.1299767216046652,0.9097918,0.8269096
28,0.97881866,0.7566982573397049,0.98826665,0.9572929,0.85914505,1.1450048512882656,0.9010819,0.8170988
29,0.98088515,0.745333526915397,0.99006563,0.96108145,0.8521373,1.1559152801831563,0.8933231,0.81569725
30,0.98088515,0.7410467067806861,0.9891997,0.9621147,0.8479327,1.159182647864024,0.88482076,0.81289417
31,0.9795075,0.7447493908449235,0.9870796,0.96039265,0.84933424,1.161563069290585,0.88854724,0.8100911
32,0.98346823,0.7343204315525336,0.9904661,0.9660754,0.8598458,1.1440520644187928,0.8956255,0.81779957
33,0.98708457,0.7249779766308414,0.994522,0.96917516,0.85704273,1.1261307305759853,0.89705884,0.8121934
34,0.9843293,0.7356384315978481,0.9917049,0.96762526,0.8703574,1.0769965688387553,0.90930057,0.8290119
35,0.9858791,0.7264868751930373,0.99279183,0.97244704,0.8696566,1.138270554277632,0.9061069,0.831815
36,0.9888066,0.7236890961078146,0.9945623,0.97640777,0.86405045,1.0915773842069838,0.90045595,0.83041346
37,0.98708457,0.711331130357131,0.993345,0.9767522,0.86405045,1.1113630771636962,0.90417314,0.8199019
38,0.99052864,0.7112787810972354,0.994931,0.9801963,0.86194813,1.0854323373900518,0.90465295,0.83111423
39,0.989151,0.7184376361367213,0.9949069,0.9755468,0.8752628,1.089339710606469,0.9104024,0.84022427
40,0.98949546,0.7050990315421387,0.9947479,0.97847426,0.8724597,1.1124762839741178,0.9060816,0.8248073
41,0.9913897,0.7025747980023695,0.9958079,0.9817462,0.8675543,1.0975460171699525,0.90327495,0.83111423
42,0.99293953,0.7080991083195723,0.9954688,0.98364043,0.8633497,1.0860013114081488,0.9098613,0.8276104
43,0.9912175,0.7029795358343996,0.9951117,0.98157394,0.8780659,1.0713677340083652,0.9171144,0.8374212
44,0.9938006,0.70227042308091,0.996509,0.98312384,0.8528381,1.1501366019248962,0.89008456,0.8114926
45,0.994145,0.6990086205941337,0.99755204,0.982435,0.86124736,1.1049438211652967,0.891954,0.81569725
46,0.9934562,0.6895845868674946,0.99565595,0.9867401,0.87596357,1.0824981715944078,0.90733594,0.82340574
47,0.99293953,0.6909084452477506,0.99564916,0.9851903,0.87386125,1.0574551079008314,0.9123751,0.831815
48,0.995006,0.6946603351171443,0.9972164,0.98708457,0.8773651,1.0774367014567057,0.91280866,0.8290119
49,0.9934562,0.6864545746228977,0.99634594,0.9860513,0.8752628,1.0743500841988458,0.91048205,0.8339173
50,0.994145,0.6952312024772445,0.9966922,0.9858791,0.86405045,1.092905088265737,0.90615386,0.82550806
51,0.9943172,0.6884648710391762,0.9977387,0.98777336,0.8752628,1.086186985174815,0.91075516,0.8367204
