epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.24175824,4.752643016668467,0.24357034,0.19350961,0.30833334,3.182944334877862,0.3375,0.225
1,0.3268469,2.9870870254609225,0.35513222,0.21508524,0.3216538,2.6809791458977594,0.36863825,0.18780659
2,0.33907354,2.5271902708418503,0.42208642,0.16652316,0.33356693,2.4616875489552816,0.44444445,0.16818501
3,0.36301017,2.3367449652210497,0.49094096,0.144653,0.35248774,2.3572200934092202,0.4835391,0.16468115
4,0.39641812,2.2412724154160153,0.57883817,0.14413638,0.403644,2.259992159737481,0.53846157,0.18149965
5,0.4079559,2.189286458198721,0.58692724,0.1499914,0.44989488,2.18422434065077,0.56900215,0.18780659
6,0.427243,2.1653196684604303,0.6128609,0.16084036,0.4737211,2.130917920006646,0.59692895,0.21793973
7,0.450663,2.1042361262745017,0.6375,0.18443258,0.5010511,2.070250238312615,0.63486236,0.24246672
8,0.4622008,2.0801802662372673,0.65531176,0.19545376,0.5143658,2.0303566429350113,0.6491525,0.26839525
9,0.47046667,2.044844131431133,0.6732892,0.21009126,0.5213735,1.9968896441989474,0.6486928,0.27820602
10,0.48906493,1.9925694462352639,0.676259,0.2428104,0.55080587,1.9754188617070516,0.686747,0.3195515
11,0.4971586,1.9808605785149807,0.68735415,0.25365937,0.5655221,1.9231639491187202,0.7030387,0.35669237
12,0.50662994,1.9683926643757848,0.68189883,0.26468056,0.56902593,1.888259016142951,0.69316596,0.3482831
13,0.5236783,1.9259392175408387,0.6914191,0.2886172,0.5697267,1.8679657803641425,0.6957672,0.36860546
14,0.53538835,1.895768684796464,0.7104,0.30583778,0.5851437,1.823530379931132,0.73414636,0.42186406
15,0.54675394,1.8734593858853539,0.7126568,0.32288617,0.60196215,1.7926918559604221,0.7326608,0.40714785
16,0.55639744,1.8471858767279048,0.72013915,0.3208197,0.6131745,1.7958981858359442,0.7382075,0.43868256
17,0.55123127,1.8434097210963087,0.72639763,0.3378681,0.6110722,1.7845508495966593,0.7344301,0.43798178
18,0.5607026,1.8306750997898398,0.7253753,0.34114,0.60896987,1.7609592702653674,0.7377423,0.45339873
19,0.5705183,1.802040074970711,0.72574764,0.34268987,0.6313945,1.74157874584198,0.75420874,0.470918
20,0.5818839,1.791562816167588,0.73848283,0.3671431,0.62228453,1.7503505945205688,0.7407407,0.47652417
21,0.58222836,1.7697637248659208,0.73576546,0.37162045,0.6384022,1.7255038923687405,0.7526652,0.4947442
22,0.58550024,1.7732246236996578,0.74623287,0.37523678,0.63770145,1.7178853617774115,0.7561762,0.49334267
23,0.59652144,1.7494216842455936,0.7592778,0.39107972,0.6334968,1.717143710454305,0.76338327,0.4996496
24,0.59634924,1.7392532563730958,0.74268055,0.39314622,0.64751226,1.688697764608595,0.7625,0.51296425
